POS,equipo,goles_contra,temporada
1,Pachuca,15,2021-2022_C
2,Atlas,15,2021-2022_C
3,América,17,2021-2022_C
4,Monterrey,17,2021-2022_C
5,Cruz Azul,17,2021-2022_C
6,Puebla,19,2021-2022_C
7,Tigres,20,2021-2022_C
8,Guadalajara,21,2021-2022_C
9,Necaxa,21,2021-2022_C
10,Pumas,21,2021-2022_C
11,Querétaro,21,2021-2022_C
12,Atlético de San Luis,22,2021-2022_C
13,León,22,2021-2022_C
14,Mazatlán FC,24,2021-2022_C
15,Santos Laguna,25,2021-2022_C
16,Tijuana,26,2021-2022_C
17,FC Juárez,28,2021-2022_C
18,Toluca,36,2021-2022_C
1,América,10,2021-2022_A
2,Atlas,10,2021-2022_A
3,Guadalajara,13,2021-2022_A
4,León,14,2021-2022_A
5,Tigres,14,2021-2022_A
6,Santos Laguna,16,2021-2022_A
7,Puebla,16,2021-2022_A
8,Monterrey,16,2021-2022_A
9,Cruz Azul,17,2021-2022_A
10,Querétaro,19,2021-2022_A
11,Pachuca,21,2021-2022_A
12,Toluca,22,2021-2022_A
13,Necaxa,22,2021-2022_A
14,Pumas,23,2021-2022_A
15,Atlético de San Luis,23,2021-2022_A
16,Mazatlán FC,24,2021-2022_A
17,FC Juárez,25,2021-2022_A
18,Tijuana,27,2021-2022_A
