POS,equipo,goles,temporada
1,América,36,2022-2023_C
2,Monterrey,35,2022-2023_C
3,Toluca,34,2022-2023_C
4,Pachuca,32,2022-2023_C
5,Guadalajara,28,2022-2023_C
6,Atlas,27,2022-2023_C
7,Puebla,26,2022-2023_C
8,Pumas,24,2022-2023_C
9,León,23,2022-2023_C
10,Santos Laguna,23,2022-2023_C
11,Cruz Azul,21,2022-2023_C
12,Tigres,20,2022-2023_C
13,Tijuana,19,2022-2023_C
14,Mazatlán FC,19,2022-2023_C
15,FC Juárez,17,2022-2023_C
16,Querétaro,16,2022-2023_C
17,Atlético de San Luis,16,2022-2023_C
18,Necaxa,16,2022-2023_C
1,América,38,2022-2023_A
2,Santos Laguna,38,2022-2023_A
3,Monterrey,29,2022-2023_A
4,Pachuca,28,2022-2023_A
5,Toluca,27,2022-2023_A
6,Cruz Azul,26,2022-2023_A
7,Puebla,25,2022-2023_A
8,León,25,2022-2023_A
9,Tigres,24,2022-2023_A
10,Pumas,21,2022-2023_A
11,Guadalajara,19,2022-2023_A
12,Necaxa,19,2022-2023_A
13,Tijuana,18,2022-2023_A
14,Querétaro,18,2022-2023_A
15,FC Juárez,17,2022-2023_A
16,Mazatlán FC,17,2022-2023_A
17,Atlas,16,2022-2023_A
18,Atlético de San Luis,15,2022-2023_A
