Equipo,xG_L,xG_V,temporada
América,2.2,2.08,2022-2023
Tigres,2.1,1.57,2022-2023
Pachuca,2.02,1.77,2022-2023
Monterrey,1.99,1.72,2022-2023
León,1.93,1.39,2022-2023
Santos Laguna,1.86,1.55,2022-2023
Toluca,1.85,1.47,2022-2023
Guadalajara,1.84,1.68,2022-2023
Tijuana,1.71,1.28,2022-2023
Pumas,1.63,1.6,2022-2023
Puebla,1.61,1.28,2022-2023
Atlas,1.57,1.38,2022-2023
Querétaro,1.4,1.19,2022-2023
Cruz Azul,1.38,1.21,2022-2023
FC Juárez,1.31,1.19,2022-2023
Necaxa,1.31,1.22,2022-2023
Mazatlán FC,1.16,0.89,2022-2023
Club Atlético de San Luis,1.1,0.99,2022-2023
